uid,namedLocation,date,domainID,siteID,plotID,pointID,stemDistance,stemAzimuth,recordType,individualID,supportingStemIndividualID,previouslyTaggedAs,otherTagID,otherTagOrg,samplingProtocolVersion,identificationHistoryID,taxonID,scientificName,genus,family,taxonRank,identificationReferences,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,remarks,measuredBy,recordedBy,dataQF,publicationDate,release
"efd19038-2f2d-4350-8d9f-45c22ae91e1d","MLBS_076.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_076",NA,NA,NA,"tag only","NEON.PLA.D07.MLBS.00326",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"ACPE","Acer pensylvanicum L.","Acer","Aceraceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"8052d2ae-e9f1-44dc-b10f-e0299fd54b04","MLBS_064.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_064","21",10.2,36,"map and tag","NEON.PLA.D07.MLBS.00010",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"QURU","Quercus rubra L.","Quercus","Fagaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"f94a32fc-173d-4d05-89be-3eceb8045233","MLBS_076.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_076","25",11.8,312.7,"map and tag","NEON.PLA.D07.MLBS.00203",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"NYSY","Nyssa sylvatica Marshall","Nyssa","Cornaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"88739769-29f7-4736-a9d3-a3bdfa7e5897","MLBS_061.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_061","43",16.6,250.5,"map and tag","NEON.PLA.D07.MLBS.00137",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"QUAL","Quercus alba L.","Quercus","Fagaceae","species",NA,NA,NA,"cf. species",NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"1cb73431-68c9-4385-95a5-ec4d19aee444","MLBS_061.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_061",NA,NA,NA,"tag only","NEON.PLA.D07.MLBS.00130",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"AMLA","Amelanchier laevis Wiegand","Amelanchier","Rosaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"0d83732a-9cc9-4f78-84fc-802a57478a10","MLBS_064.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_064","21",20.5,22,"map and tag","NEON.PLA.D07.MLBS.00040",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"ACRU","Acer rubrum L.","Acer","Aceraceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"54d1f7ef-9408-4bc7-b88a-55a473f78853","MLBS_064.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_064",NA,NA,NA,"tag only","NEON.PLA.D07.MLBS.00006",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"KALA","Kalmia latifolia L.","Kalmia","Ericaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"afb8d7e9-f95d-48bf-9099-3f01ccd227b5","MLBS_061.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_061","43",3.4,321.3,"map and tag","NEON.PLA.D07.MLBS.00198",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"QUCO2","Quercus coccinea Münchh.","Quercus","Fagaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"af7ca5fe-8374-4c2b-baa4-a43c06783ccd","MLBS_064.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_064","61",19.5,181.4,"map and tag","NEON.PLA.D07.MLBS.00073B",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"QURU","Quercus rubra L.","Quercus","Fagaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"3432d491-b470-46e9-85fa-cdfaefe7c21e","MLBS_064.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_064","21",21.3,42.2,"map and tag","NEON.PLA.D07.MLBS.00052",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"QUAL","Quercus alba L.","Quercus","Fagaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"8f1c9322-09a3-4eb6-8fa0-531d397a986b","MLBS_064.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_064","21",20.2,72,"map and tag","NEON.PLA.D07.MLBS.00032",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"AMLA","Amelanchier laevis Wiegand","Amelanchier","Rosaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"a5740478-363d-4a8d-8d6e-cc728796b0ad","MLBS_076.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_076",NA,NA,NA,"tag only","NEON.PLA.D07.MLBS.00238",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"VACO","Vaccinium corymbosum L.","Vaccinium","Ericaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"3c648432-a27e-45b7-852e-49c19ccd793b","MLBS_064.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_064","61",18.5,267.8,"map and tag","NEON.PLA.D07.MLBS.00082",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"NYSY","Nyssa sylvatica Marshall","Nyssa","Cornaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"1e56619f-a5a0-4ce8-b86d-be2a465fff31","MLBS_076.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_076",NA,NA,NA,"tag only","NEON.PLA.D07.MLBS.00317",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"NYSY","Nyssa sylvatica Marshall","Nyssa","Cornaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"ea4683b7-71e1-42f2-8ae8-6291b7d3fd80","MLBS_064.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_064","21",13.8,63.6,"map and tag","NEON.PLA.D07.MLBS.00028",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"QUAL","Quercus alba L.","Quercus","Fagaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"37a1267e-ea3e-403a-9636-a11e1758c0a1","MLBS_076.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_076",NA,NA,NA,"tag only","NEON.PLA.D07.MLBS.00308",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"VACO","Vaccinium corymbosum L.","Vaccinium","Ericaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"383f090f-dd4e-4537-a4bd-0f726ca1a329","MLBS_076.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_076","25",15.9,333.9,"map and tag","NEON.PLA.D07.MLBS.00214",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"PINUS","Pinus sp.","Pinus","Pinaceae","genus",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"e7ef980d-5568-4558-8c6c-102aabeee80d","MLBS_076.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_076","25",6.2,341.8,"map and tag","NEON.PLA.D07.MLBS.00201",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"NYSY","Nyssa sylvatica Marshall","Nyssa","Cornaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"65463d76-df84-454d-845e-586e9462966d","MLBS_061.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_061","43",3.9,232,"map and tag","NEON.PLA.D07.MLBS.00127",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"QUAL","Quercus alba L.","Quercus","Fagaceae","species",NA,NA,NA,"cf. species",NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"a43e5caf-80d3-410f-8b6a-a46613b09d15","MLBS_076.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_076",NA,NA,NA,"tag only","NEON.PLA.D07.MLBS.00257",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"VACO","Vaccinium corymbosum L.","Vaccinium","Ericaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"ac8ce7a4-cb65-49fc-93ef-2bdcced201f1","MLBS_061.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_061",NA,NA,NA,"tag only","NEON.PLA.D07.MLBS.00165",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"VACO","Vaccinium corymbosum L.","Vaccinium","Ericaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"127a32d8-abfe-42a6-b82f-6ad73bbabf9d","MLBS_061.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_061","43",24.4,322.2,"map and tag","NEON.PLA.D07.MLBS.00174",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"QUAL","Quercus alba L.","Quercus","Fagaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"41422286-7c7a-4311-b7c2-62f44efe4d7a","MLBS_076.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_076","25",9,284.2,"map and tag","NEON.PLA.D07.MLBS.00202C",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"ACRU","Acer rubrum L.","Acer","Aceraceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"b8c6debe-03cc-4476-a412-085201b843c3","MLBS_076.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_076","25",5.2,199,"map and tag","NEON.PLA.D07.MLBS.00200",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"NYSY","Nyssa sylvatica Marshall","Nyssa","Cornaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"d9b96c95-e369-4b72-a36d-6c2a5c87cc0a","MLBS_076.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_076",NA,NA,NA,"tag only","NEON.PLA.D07.MLBS.00320",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"ACPE","Acer pensylvanicum L.","Acer","Aceraceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"a8455601-c897-4f5d-8aa5-6a8900a8de00","MLBS_064.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_064","21",12.2,24.2,"map and tag","NEON.PLA.D07.MLBS.00036",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"QURU","Quercus rubra L.","Quercus","Fagaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"84db69c6-1359-4a30-8824-ddd2443957e3","MLBS_064.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_064","61",16.4,184.9,"map and tag","NEON.PLA.D07.MLBS.00072",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"ACRU","Acer rubrum L.","Acer","Aceraceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"b8258cfa-cb1d-47d6-895e-83cba737d8df","MLBS_076.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_076","25",4.6,291.6,"map and tag","NEON.PLA.D07.MLBS.00199",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"NYSY","Nyssa sylvatica Marshall","Nyssa","Cornaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"99fe07b2-a360-4e5e-9b8d-7148d2710ecd","MLBS_076.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_076",NA,NA,NA,"tag only","NEON.PLA.D07.MLBS.00213",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"ACPE","Acer pensylvanicum L.","Acer","Aceraceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"c786468b-cbc9-4a87-a231-919e3576a46a","MLBS_061.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_061","43",7.8,292.9,"map and tag","NEON.PLA.D07.MLBS.00195",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"NYSY","Nyssa sylvatica Marshall","Nyssa","Cornaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"8bfbbc46-0a60-48ef-b169-de3fada4bd6a","MLBS_064.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_064","61",14,191.4,"map and tag","NEON.PLA.D07.MLBS.00075",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"QURU","Quercus rubra L.","Quercus","Fagaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"01f2ec35-c325-4bd9-bd2e-926ad1888c29","MLBS_061.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_061","43",18.7,319.1,"map and tag","NEON.PLA.D07.MLBS.00177",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"MAAC","Magnolia acuminata (L.) L.","Magnolia","Magnoliaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"5edc788e-2dc1-447b-a3fd-b69c4fcc538d","MLBS_076.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_076",NA,NA,NA,"tag only","NEON.PLA.D07.MLBS.00226",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"VACO","Vaccinium corymbosum L.","Vaccinium","Ericaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"96a8da4f-9e47-44ae-b15e-10b11d5c0191","MLBS_076.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_076",NA,NA,NA,"tag only","NEON.PLA.D07.MLBS.00211",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"VACO","Vaccinium corymbosum L.","Vaccinium","Ericaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"4c84606d-5f3c-4289-8405-cc1e35c7baea","MLBS_064.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_064","61",11.8,235,"map and tag","NEON.PLA.D07.MLBS.00084",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"QUAL","Quercus alba L.","Quercus","Fagaceae","species",NA,NA,NA,"cf. species",NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"3f6c5d40-bd0f-42d5-99b3-497b2ce1249e","MLBS_064.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_064","61",10.8,215.5,"map and tag","NEON.PLA.D07.MLBS.00095",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"QURU","Quercus rubra L.","Quercus","Fagaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"167598ef-38da-42c6-8d9b-67c35cf0951e","MLBS_076.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_076",NA,NA,NA,"tag only","NEON.PLA.D07.MLBS.00264",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"VACO","Vaccinium corymbosum L.","Vaccinium","Ericaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"0fdfd5ff-39d8-4f68-bd40-f3086597dd0a","MLBS_076.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_076",NA,NA,NA,"tag only","NEON.PLA.D07.MLBS.00235",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"VACO","Vaccinium corymbosum L.","Vaccinium","Ericaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"2477d0ac-0ef3-488a-92fe-d74e24b8e0bb","MLBS_064.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_064","61",17.1,201.7,"map and tag","NEON.PLA.D07.MLBS.00070B",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"ACRU","Acer rubrum L.","Acer","Aceraceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"1437997f-092a-4988-aea3-76a708108011","MLBS_061.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_061","43",13.3,336.9,"map and tag","NEON.PLA.D07.MLBS.00181",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"QURU","Quercus rubra L.","Quercus","Fagaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"caabf07b-8140-4fba-b1ee-cf979f7d3b4a","MLBS_076.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_076","57",12.3,171.4,"map and tag","NEON.PLA.D07.MLBS.00292A",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"ACRU","Acer rubrum L.","Acer","Aceraceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"3d5e4b1b-9535-4c6c-806d-b99baf40206d","MLBS_061.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_061","43",21.5,320.7,"map and tag","NEON.PLA.D07.MLBS.00175",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"MAAC","Magnolia acuminata (L.) L.","Magnolia","Magnoliaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"56da4611-7a6f-4bfc-b864-e2923694f6f6","MLBS_064.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_064",NA,NA,NA,"tag only","NEON.PLA.D07.MLBS.00089",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"ILMO","Ilex montana Torr. & A. Gray ex A. Gray","Ilex","Aquifoliaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"47b3a22c-51da-485f-aa41-a64caafa0b16","MLBS_061.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_061","43",18.8,237.1,"map and tag","NEON.PLA.D07.MLBS.00142",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"QURU","Quercus rubra L.","Quercus","Fagaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"885ab261-b3a0-4c16-abb3-1c9ef715bdfd","MLBS_061.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_061","43",3.4,321.3,"map and tag","NEON.PLA.D07.MLBS.00198A",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"QUCO2","Quercus coccinea Münchh.","Quercus","Fagaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"71ad5861-c8a4-4b84-8b57-f4010a022593","MLBS_076.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_076","25",13.2,274.6,"map and tag","NEON.PLA.D07.MLBS.00275",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"QURU","Quercus rubra L.","Quercus","Fagaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"2b0e583a-c53b-44fd-866a-fe1dd43af040","MLBS_076.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_076","25",17.1,312.4,"map and tag","NEON.PLA.D07.MLBS.00233",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"QURU","Quercus rubra L.","Quercus","Fagaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"083de6a3-2a9d-4b32-92ab-6c683901b4df","MLBS_076.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_076",NA,NA,NA,"tag only","NEON.PLA.D07.MLBS.00210",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"VACO","Vaccinium corymbosum L.","Vaccinium","Ericaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
"ccb418ef-9737-471b-863a-521e278f01d2","MLBS_076.basePlot.vst",2015-09-28,"D07","MLBS","MLBS_076","57",23.1,129.5,"map and tag","NEON.PLA.D07.MLBS.00313",NA,NA,NA,NA,"NEON.DOC.000987vE",NA,"AMLA","Amelanchier laevis Wiegand","Amelanchier","Rosaceae","species",NA,NA,NA,NA,NA,"cjuneau@field-ops.org","mcumberland@field-ops.org",NA,"20260106T160319Z","RELEASE-2026"
